title,price,rating,reviews,image_link
"AC Infinity MULTIFAN S5, Quiet Dual 80mm USB Fan, UL-Certified for Receiver DVR Playstation Xbox Computer Cabinet Cooling",$15.99,4.7 out of 5 stars,"9,224 ratings",61SE25XAJqL.__AC_SX300_SY300_QL70_ML2_.jpg
"Targus 17 inch Dual Fan Lap Chill Mat - Soft Neoprene Laptop Cooling Pad, Heat Protection Laptop Cooler, Dual-fan Heat Dispersion, USB-A Connection Laptop Fan",$39.99,4.3 out of 5 stars,"7,675 ratings",81IuXKZCjtL.__AC_SX300_SY300_QL70_ML2_.jpg
"Brother FAX-2840 High Speed Mono Laser Fax Machine, Dark/Light Gray - FAX2840",$219.97,4.5 out of 5 stars,"1,304 ratings",81PWwHGBDQL.__AC_SY300_SX300_QL70_ML2_.jpg
"Tripp Lite - SRW12US 12U Wall Mount Rack Enclosure Server Cabinet, Hinged, 20.5"" Deep, Switch-Depth (SRW12US) black",$570.60,4.6 out of 5 stars,991 ratings,81vHrYvksAL.__AC_SX300_SY300_QL70_ML2_.jpg
"Monoprice 102288 Cat6 Ethernet Patch Cable - Network Internet Cord - RJ45, Stranded, 550Mhz, UTP, Pure Bare Copper Wire, 24AWG, 1ft, Black",$9.29,4.5 out of 5 stars,"2,881 ratings",5149w8EYwUL.__AC_SY300_SX300_QL70_ML2_.jpg
"Brother Genuine High Yield Toner Cartridge, TN750, Replacement Black Toner, Page Yield Up to 8,000 Pages, Amazon Dash Replenishment Cartridge",$101.00,4.5 out of 5 stars,"1,453 ratings",81tMDT-grJL.__AC_SX300_SY300_QL70_ML2_.jpg
"TRENDnet 24-Port Cat6 Unshielded Patch Panel, Wallmount or Rackmount, Compatible with Cat3,4,5,5e,6 Cabling, For Ethernet, Fast Ethernet, Gigabit Applications, Black, TC-P24C6",$41.99,4.7 out of 5 stars,525 ratings,71WNoFGiAZL.__AC_SY300_SX300_QL70_ML2_.jpg
"AC Infinity AIRPLATE S7, Quiet Cooling Fan System 12"" with Speed Control, for Home Theater AV Cabinets",$39.99,4.6 out of 5 stars,"2,678 ratings",61AInguAXQL.__AC_SX300_SY300_QL70_ML2_.jpg
"Verbatim DVD+R DL 8.5GB 8X with Branded Surface - 50pk Spindle, 50 - Disc",$50.80,4.6 out of 5 stars,"4,951 ratings",81pJo8nGXWL.__AC_SX300_SY300_QL70_ML2_.jpg
"Microsoft Q2F-00013 LifeCam Studio with Built-in Noise Cancelling Microphone, Auto-Focus, Light Correction, USB Connectivity, for Microsoft Teams/Zoom, Compatible with Windows 8/10/11/Mac, 1080p",$47.99,4.3 out of 5 stars,"3,079 ratings",61PZlCY0L3L.__AC_SX300_SY300_QL70_ML2_.jpg
StarTech.com 1 Port USB to Serial RS232 Adapter - Prolific PL-2303 - USB to DB9 Serial Adapter Cable - RS232 Serial Converter (ICUSB232V2),$30.99,4.6 out of 5 stars,792 ratings,61I5atI+Z9L._AC_SY300_SX300_.jpg
"AC Infinity MULTIFAN S4, Quiet 140mm USB Fan, UL-Certified for Receiver DVR Playstation Xbox Computer Cabinet Cooling",$15.99,4.7 out of 5 stars,"2,623 ratings",71oSr4T8SqL.__AC_SX300_SY300_QL70_ML2_.jpg
"AC Infinity AIRPLATE S3, Quiet Cooling Fan System 6"" with Speed Control, for Home Theater AV Cabinets",$29.99,4.7 out of 5 stars,"2,440 ratings",61XCzxjCbKL.__AC_SX300_SY300_QL70_ML2_.jpg
"TRENDnet 48-Port Cat6 Unshielded Patch Panel, Wallmount or Rackmount, Compatible with Cat3,4,5,5e,6 Cabling, For Ethernet, Fast Ethernet, Gigabit Applications, Black, TC-P48C6",$71.99,4.5 out of 5 stars,152 ratings,410KaPi6hML._SY445_SX342_QL70_ML2_.jpg
"Noctua NF-S12A PWM, Premium Quiet Fan, 4-Pin (120mm, Brown)",$23.99,4.9 out of 5 stars,"2,766 ratings",81ySZPL-MXL.__AC_SX300_SY300_QL70_ML2_.jpg
"Targus World Power Travel Adapters, Black (APK01US)",$18.49,4.7 out of 5 stars,402 ratings,61nySHt6RTL.__AC_SX300_SY300_QL70_ML2_.jpg
"Lexmark 60F1H00 (LEX-601H) Toner, 10000 Page-Yield, Black",$159.62,4.3 out of 5 stars,146 ratings,71a4vMeqsKL.__AC_SX300_SY300_QL70_ML2_.jpg
Brother Printer TN720 Toner Cartridge,$63.30,4.6 out of 5 stars,573 ratings,81mTFSDu4SL.__AC_SX300_SY300_QL70_ML2_.jpg
Lexmark 52D1H00 MS710 MS711 MS810 MS811 MS812 Toner Cartridge (Black) in Retail Packaging,$271.05,4.2 out of 5 stars,33 ratings,810FA7ROOoL.__AC_SY300_SX300_QL70_ML2_.jpg
StarTech.com 7.1 USB Sound Card - External Sound Card for Laptop with SPDIF Digital Audio - Sound Card for PC - Silver (ICUSBAUDIO7D),$55.99,4.1 out of 5 stars,"2,476 ratings",71iphtLDusL.__AC_SX300_SY300_QL70_ML2_.jpg
"Fellowes Gel Crystal Transparent Mousepad and Wrist Rest - Purple, 9.05"" x 7.95""",$22.99,4.7 out of 5 stars,"3,665 ratings",61qAB7WVBHL.__AC_SX300_SY300_QL70_ML2_.jpg
Samsonite Business One Mobile Office,$199.99,4.5 out of 5 stars,274 ratings,81mBd6DaNhL.__AC_SY445_SX342_QL70_ML2_.jpg
"SP 1TB Rugged Portable External Hard Drive Armor A30, Shockproof USB 3.0 for PC, Mac, Xbox and PS4, Black",$69.99,4.7 out of 5 stars,"11,799 ratings",61kKraioB-L.__AC_SX300_SY300_QL70_ML2_.jpg
